Группы,,Задача 1,Комментрарий 1,Задача 2,Комментрарий 2,Задача 3,Комментрарий 3,Задача 4,Комментрарий 4,Итого КР 1,Комментарии проверяющих
П-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",48,"1) оптимальный набор - 10
2) график - 3 из 5 (не подписаны линии)
3) график новые БО - 10
4) новые БО - 10
5) выбор акции - 8
6) новый выбор - 7",93,
ЭЦ-22-102,,10,,15,,0,"1) общее решение -  0 из 5 (нет общего вида)
2) остальное неверно ",41,"1) оптимальный набор - 6 из 10 (непоное решение)
2) график - 5
3) график новые БО - 10
4) новые БО - 2+5 из 10 (неверное БО 1 акции)
5) выбор акции -7 из 8 (из-за неверного бо)
6) новый выбор - 6 из 7 (из-за неверного бо)",66,
Ц-22-101,,10,,5,"форма верна, остальное нет",10,"1) общий вид - 3 из 5 (непоятно в чем задача)
2) MRS - отн цен - 3 
3) Найти MRS - 0 из 5 ( ошибк в вычислении)
4) набор  - 0 из 2 (неверный)
5) краевые - 5 
6) график - 4 из 5 (неврно точка с решением)",8,"1) оптимальный набор - 0 из 10 (не существует MRS, выбор не найден)
2) график - 4 из 5 (нет координат)
3) график новые БО - 2+2 из 10 (по графику дают 6 бутылок и 50% скидку на пиво; по условию наоборот; изобразить надо на 1 графике)
4) новые БО - 0+5 из 10 (БО 1 акции неверное, нужно х-6 и два участка)
5) выбор акции - 0 из 8 (нет обоснования)
6) новый выбор - 0 из 7",33,
Ц-22-102,,10,,,,,,0,"ответы не следуют из решения, графики не подписаны",10,
ЭЦ-22-102,,10,,15,,18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3  из 5(непонятно как посчитано пересечение с осями)",50,,93,
Э-22-101,,10,,15,,12,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 4 из 5 (неврно со знаком)
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3  из 5(непонятно как посчитано пересечение с осями, нет наклона)",49,"1) оптимальный набор - 10
2) график - 5
3) график новые БО - 9 из 10 (нужно на одном графике)
4) новые БО - 10
5) выбор акции - 8
6) новый выбор - 7",86,
Ц-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",29,"1) оптимальный набор - 10 (не нужно проверять краевые)
2) график - 5
3) график новые БО - 2+4 из 10 (по графику дают 6 бутылок; по условию наоборот; изобразить надо на 1 графике)
4) новые БО - 3+5 из 10 (БО 1 акции неполное, нужно х-6 и два участка)
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",74,
ЭЦ-22-102,,10,,15,,17,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 4 из 5 ( косвенно полученно, что их нет, но впрямую это нигде не обсуждается) 
6) график - 3 из 5 (непонятно как посчитано пересечение с осями)",17,"1) оптимальный набор - 10
2) график - 2 из 5 (не подписано, кр.безразличия неверные)
3) график новые БО - 0+5 из 10 (неверное БО 1 акции)
4) новые БО - 0 из 10 (не БО)
5) выбор акции - 0 из 8 (неверные наборы, выбор не обоснован)
6) новый выбор - 0 из 7 (неверно)",59,
ЭЦ-22-102,,0,нет объяснений,0,"неверно ни формула, ни расчёт",8,"1) общий вид - 4 из 5 ( в задча то x,y, то x1,x2)
2) MRS - отн цен - 0 (нет)
3) Найти MRS - 3 из 5 (недосчитан)
4) набор  - 0 из 2 (нет)
5) краевые - 0 из 5(нет)
6) график - 0 из 5(нет)",17,"1) оптимальный набор - 3 из 10 (з.потребителя верно)
2) график - 0 из 5 (неверно, ничего не полписано)
3) график новые БО - 2+4 из 10 (не подписаны оси, на разных рисунках)
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",25,
Ц-22-102,,10,,,,,,,,10,
ЭЦ-22-102,,10,,15,,13,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3  из 5(непонятно как посчитано пересечение с осями)",33,"1) оптимальный набор - 10
2) график - 0 из 5
3) график новые БО - 0 из 10 
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 8
6) новый выбор - 7",71,
ЭЦ-22-102,,,,,,,,,,0,
Ц-22-101,,10,,15,,13,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3  из 5 (нет кр. безразличия)",36,"1) оптимальный набор - 10
2) график - 5
3) график новые БО - 8 из 10 (нужно на 1 графике)
4) новые БО - 10
5) выбор акции - 0 из 8 (нет обоснования)
6) новый выбор - 3 из 7 (недостаточно обоснований)",74,
П-22-101,,10,,15,,13,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3 (непонятно как посчитано пересечение с осями, нет наклона)",43,"1) оптимальный набор - 10
2) график - 3 из 5 (нет кр.безразличия, не подписаны линии)
3) график новые БО - 7 из 10 (нужно было на 1 рисунке, нет наклонов, под лилией БО1 тоже входит)
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 8
6) новый выбор - 7",81,
Э-22-101,,0,нет обоснования,15,,11,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",48,"1) оптимальный набор - 10
2) график - 3 из 5 (не подписаны линии)
3) график новые БО - 10
4) новые БО - 10
5) выбор акции - 8
6) новый выбор - 7",74,
Ц-22-101,,10,,15,,18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 3  из 5(непонятно как посчитано пересечение с осями, нет наклона)",15,"1) оптимальный набор - 10
2) график - 5
3) график новые БО - 0 из 10
4) новые БО - 0 из 10
5) выбор акции - 0 из 8 
6) новый выбор - 0 из 7",58,
Ц-22-102,,10,,,,,,45,"1) оптимальный набор - 10 (нет MRS и не нужно проверять краевые для данной функции)
2) график - 5
3) график новые БО - 3+4 из 10 (площадь под кривой входит полностью, нужно на 1 графике или с указанием наклонов)
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 8
6) новый выбор - 6 из 7 (арифметическая ошибка)",55,
Э-22-101,,10,,15,,18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5 
6) график - 3 из 5 (нет кр. безразличия)",48,"1) оптимальный набор - 10
2) график - 4 из 5 (линии не подписаны)
3) график новые БО - 9 из 10 (нужно на 1 рисунке)
4) новые БО - 10
5) выбор акции - 8
6) новый выбор - 7",91,
Э-22-101,,10,,15,,13,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3 из 5 (непонятно как посчитано пересечение с осями, нет наклона)",23,"1) оптимальный набор - 2 из 10 (неверное решение дало верный ответ)
2) график - 2 из 5 (линии не подписаны, нет кривых безразличия)
3) график новые БО - 9 из 10 (нужно на 1 рисунке)
4) новые БО - 10
5) выбор акции - 0 из 8 (нет решения)
6) новый выбор - 0 из 7 (нет решения)",61,
Э-22-101,,10,,15,,10,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 0 из 5 (нет)",30,"1) оптимальный набор - 10
2) график - 2 из 5 (не подписаны линии, нет кривых безразличия)
3) график новые БО - 8 из 10 (нужно на 1 рисунке)
4) новые БО - 10
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",65,
Э-22-101,,10,,15,,18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 3 из 5 (непонятно как посчитано пересечение с осями, нет наклона)",28,"1) оптимальный набор - 10
2) график - 1 из 5 (линии не подписаны)
3) график новые БО - 8 из 10 (нужно на 1 рисунке)
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 0 из 8 (неверное обоснование, нет решения)
6) новый выбор - 1 из 7 (нет решения)",71,
Ц-22-102,,10,,,,,,44,"1) оптимальный набор - 10
2) график - 3 из 5 (нет кривых безразличия)
3) график новые БО - 8 из 10 (нужно на 1 рисунке, не указаны наклоны)
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 8
6) новый выбор - 7",54,
Ц-22-101,,10,,15,,11,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",12,"1) оптимальный набор - 10
2) график - 2 из 5 (нет кр. безразличия, не подписаны линии)
3) график новые БО - 0 из 10
4) новые БО - 0 из 10
5) выбор акции - 0 из 8 
6) новый выбор - 0 из 7",48,
Ц-22-102,,10,,,,,,29,"1) оптимальный набор - 10 (нет MRS для данной функции)
2) график - 4 из 5 (линии не подписаны)
3) график новые БО - 0+5 из 10 (БО 1 акции неверное)
4) новые БО - 0+5 из 10 (БО 1 акции неверное)
5) выбор акции - 0 из 8 (нет ответа)
6) новый выбор - 5 из 7 (какой выбор?)",39,
ЭЦ-22-102,,10,,15,,11,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",45,"1) оптимальный набор - 10
2) график - 3 из 5 (ничего не полписано)
3) график новые БО - 9 из 10 (не подписаны БО)
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 8
6) новый выбор - 7",81,
П-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",48,"1) оптимальный набор - 10
2) график - 5
3) график новые БО - 8 из 10 (нужно было на 1 рисунке, нет наклонов)
4) новые БО - 10
5) выбор акции - 8
6) новый выбор - 7",93,
Ц-22-102,,0,ответ не следует из решения,,,,,23,"1) оптимальный набор - 10 
2) график - 3 из 5 (линии не подписаны)
3) график новые БО - 0+5 из 10 (БО 1 акции неверное)
4) новые БО - 0+5 из 10 (БО 1 акции неверное)
5) выбор акции - 0 из 8 (не обосновано)
6) новый выбор - 0 из 7",23,
ЭЦ-22-102,,10,,15,,18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые -5
6) график - 3 из 5 (непонятно как посчитано пересечение с осями, нет наклона)",32,"1) оптимальный набор - 10
2) график - 5
3) график новые БО - 1+5 из 10 (неверно смещена БО 1 акции)
4) новые БО - 1+5 из 10 (неверное БО 1 акции)
5) выбор акции - 4 из 8 (из-за неверного БО 1 акции)
6) новый выбор - 1 из 7 (нет ответа)",75,
Э-22-101,,10,,10,неверно подставили в формулу,17,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 2 из 5 (нет  пересечение с осями, нет наклона)",48,"1) оптимальный набор - 10
2) график - 5
3) график новые БО - 9 из 10 (нужно на 1 рисунке)
4) новые БО - 10
5) выбор акции - 6 из 8 (ошибка постановки задачи для акции 1)
6) новый выбор - 6 из 7 (см. п.5)",85,
Ц-22-101,,10,,15,,15,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 5",32,"1) оптимальный набор - 9 из 10 (нет уточнения про дискретность)
2) график - 3 из 5 (нет кривых безразличия)
3) график новые БО - 10
4) новые БО - 0+5 из 10 (БО 1 акции нет)
5) выбор акции - 5 из 8 (неверное обоснование, график по точкам, поэтому ок)
6) новый выбор - 0 из 7 ",72,
П-22-101,,10,,15,,15,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) кравевые - 0 из 5
6) график - 5",43,"1) оптимальный набор - 10
2) график - 2 из 5 (неверная кр.безразличия)
3) график новые БО - 8 из 10 (нужно было на 1 рисунке, нет наклонов)
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 8
6) новый выбор - 7",83,
П-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",45,"1) оптимальный набор - 10
2) график - 4 из 5 (не подписаны линии)
3) график новые БО - 8 из 10 (БО должны пересекаться, визуально наклоны силнее отличаются)
4) новые БО - 3+5 из 10 (по 1 акции неполное БО)
5) выбор акции - 8 
6) новый выбор - 7",90,
Ц-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",48,"1) оптимальный набор - 8 из 10 (нет MRS для этой функции)
2) график - 5
3) график новые БО - 10
4) новые БО - 10
5) выбор акции - 8 
6) новый выбор - 7",93,
Э-22-101,,10,,15,,11,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",44,"1) оптимальный набор - 8 из 10 (нет MRS для данной функции)
2) график - 2 из 5 (линии не подписаны, нет кривых безразличия)
3) график новые БО - 9 из 10 (нужно на 1 рисунке)
4) новые БО - 10
5) выбор акции - 8
6) новый выбор - 7",80,
Ц-22-101,,10,,15,,19,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5 (непонятно, почему полезность вычислняет от точки (0;64), хотя выше было посчитано 60
6) график - 4 из 5 (все-то 60 по y, возникло 64 откуда-то)",20,"1) оптимальный набор - 5 из 10 (посчитан верно, откуда-то берется неверный ответ и его иллюстрация)
2) график - 2 из 5 (не та точка, неподписаны линии)
3) график новые БО - 0+5 из 10 (неверное БО 1 акции)
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 0 из 8 
6) новый выбор - 0 из 7",64,
Ц-22-101,,10,,15,,25,,0,"1) оптимальный набор - 0 из 10 (нет MRS для этой функции)
2) график - 0 из 5
3) график новые БО - 0 из 10
4) новые БО - 0 из 10
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",50,
П-22-101,,10,,15,,25,,50,,100,
Ц-22-102,,10,,,,,,10,"1) оптимальный набор - 0 из 10 (в оптимуме Y=X/2, а не 2X)
2) график - 0 из 5 
3) график новые БО - 10
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 0 из 8 (неверное обоснование)
6) новый выбор - 2 из 7 (арифметическая ошибка, нет обоснования)",20,
Ц-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",13,"1) оптимальный набор - 10
2) график - 3 из 5 (линии не подписаны)
3) график новые БО - 0 из 10
4) новые БО - 0 из 10
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",58,
Ц-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",2,"1) оптимальный набор - 0 из 10 (нет MRS для этой функции)
2) график - 0 из 5
3) график новые БО - 1+1 из 10 (нет объяснений)
4) новые БО - 0 из 10
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",47,
Ц-22-101,,0,неверно выписано БО,5,"формула правильно, остальное нет",20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",,,25,
Ц-22-102,,10,,,,,,29,"1) оптимальный набор - 10 (нет MRS для данной функции)
2) график - 0 из 5 (линии не подписаны, нет БО или U)
3) график новые БО - 3+4 из 10 (БО 1 акции под всей линией, нужно на 1 рисунке)
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 1 из 8 (неверное обоснование)
6) новый выбор - 3 из 7 (ответ следует из неверного предположения)",39,
П-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",36,"1) оптимальный набор - 9 из 10 (не существует MRS для функции минимум)
2) график - 4 из 5 (не полписаны линии)
3) график новые БО - 8 из 10 (нужно было на 1 рисунке, нет наклонов)
4) новые БО - 10
5) выбор акции - 3 из 8 (не обосновано)
6) новый выбор - 2 из 7 (неверное найден выбор в А1 и А2)
не нужно проверять краевые решения для данной функции",81,
